分群,選項,分子,分母_作答人數,群人數,群內比例,全體比例,lift,lift留空原因,該群平均角色廣度,信賴度,決策可用性,讀法說明
落地推廣,公開資料或開放資料（例如：政治獻金資料集）,18,36,36,0.5,0.4468,1.12,,3.47,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
落地推廣,場地（例如：NPO Hub）,14,36,36,0.3889,0.4043,0.96,,3.47,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
落地推廣,現成的數位工具或平台（例如：Pol.is）,14,36,36,0.3889,0.3617,1.08,,3.47,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
落地推廣,政府窗口（例如：協助將專案成果結合到體制內）,15,36,36,0.4167,0.3404,1.22,,3.47,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
落地推廣,主要靠我自己想辦法,11,36,36,0.3056,0.234,1.31,,3.47,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
落地推廣,其他（自由填答）,1,36,36,0.0278,0.0213,,分子<5，lift 為雜訊,3.47,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
開發維護,人脈（例如：由社群介紹可諮詢的專家）,24,33,33,0.7273,0.6596,1.1,,3.85,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
開發維護,經費（例如：獎助金、標案或機構支持費用）,19,33,33,0.5758,0.4681,1.23,,3.85,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
開發維護,公開資料或開放資料（例如：政治獻金資料集）,17,33,33,0.5152,0.4468,1.15,,3.85,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
開發維護,場地（例如：NPO Hub）,15,33,33,0.4545,0.4043,1.12,,3.85,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
開發維護,現成的數位工具或平台（例如：Pol.is）,13,33,33,0.3939,0.3617,1.09,,3.85,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
開發維護,政府窗口（例如：協助將專案成果結合到體制內）,13,33,33,0.3939,0.3404,1.16,,3.85,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
開發維護,主要靠我自己想辦法,8,33,33,0.2424,0.234,1.04,,3.85,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
開發維護,其他（自由填答）,0,33,33,0.0,0.0213,,分子<5，lift 為雜訊,3.85,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
發起者,人脈（例如：由社群介紹可諮詢的專家）,21,27,27,0.7778,0.6596,1.18,,3.85,L1（僅供參考）,僅供參考,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
發起者,經費（例如：獎助金、標案或機構支持費用）,14,27,27,0.5185,0.4681,1.11,,3.85,L1（僅供參考）,僅供參考,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
發起者,公開資料或開放資料（例如：政治獻金資料集）,12,27,27,0.4444,0.4468,0.99,,3.85,L1（僅供參考）,僅供參考,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
發起者,場地（例如：NPO Hub）,14,27,27,0.5185,0.4043,1.28,,3.85,L1（僅供參考）,僅供參考,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
發起者,現成的數位工具或平台（例如：Pol.is）,9,27,27,0.3333,0.3617,0.92,,3.85,L1（僅供參考）,僅供參考,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
發起者,政府窗口（例如：協助將專案成果結合到體制內）,10,27,27,0.3704,0.3404,1.09,,3.85,L1（僅供參考）,僅供參考,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
發起者,主要靠我自己想辦法,7,27,27,0.2593,0.234,1.11,,3.85,L1（僅供參考）,僅供參考,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
發起者,其他（自由填答）,0,27,27,0.0,0.0213,,分子<5，lift 為雜訊,3.85,L1（僅供參考）,僅供參考,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
出資者,人脈（例如：由社群介紹可諮詢的專家）,11,16,16,0.6875,0.6596,1.04,,4.56,L1（僅供參考）,僅供參考,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
出資者,經費（例如：獎助金、標案或機構支持費用）,10,16,16,0.625,0.4681,1.34,,4.56,L1（僅供參考）,僅供參考,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
